# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.251740,1.000000,0.000000,0.000000,0.000000,-8.940550,16.119200,-10.284000,2.278940,1.000000,0.000000,0.000000,0.000000,-1.518620,3.033070,-2.036460,0.465419,1.000000,0.000000,0.000000,0.000000,-0.214217,0.421507,-0.278759,0.062905,-0.952270,-0.000000,-287.421047,1928.820414,-5158.353764,6642.271850,-4082.195682,960.585053
2.074950,0.000000,-0.530064,0.450800,0.221042,2.011720,-2.432330,0.966250,-0.130842,1.000000,0.300928,0.252850,0.030020,1.108120,-1.465570,0.616611,-0.086733,1.000000,0.047447,0.047186,0.002405,0.078635,-0.137972,0.063476,-0.009299,2.249732,10.088187,-75.637489,168.418956,-180.061986,100.910764,-28.522316,3.198012
1.933840,2.000000,0.538401,-0.515662,-0.051323,-1.318340,1.691750,-0.718326,0.103926,2.000000,-0.653486,-0.469470,0.027433,-1.771490,2.471180,-1.112810,0.167718,1.000000,-0.249475,-0.093505,0.023254,-0.661215,1.030370,-0.491913,0.076845,-1.071388,-5.751153,68.624774,-284.137594,501.441323,-428.870920,175.437815,-27.450848
1.488900,1.000000,-0.385965,0.285969,-0.010136,1.075980,-1.828900,1.038420,-0.200020,0.000000,0.219971,0.465016,-0.120540,4.015400,-6.974640,4.069990,-0.801441,1.000000,0.882507,0.171165,-0.093779,1.254420,-2.615920,1.674690,-0.348471,2.629400,6.580739,-89.626686,303.771542,-475.975855,382.909239,-153.092476,24.082152
